UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_L,Type_M,Type_H,Temp_diff [K],power_factor [W],Tool_wear_norm [min]
1,M14860,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,0,1,0,10.5,6951.590560157351,0.0
2,L47181,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,1,0,0,10.5,6826.722724152667,0.011857707509881422
3,L47182,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,1,0,0,10.399999999999977,7749.387542560967,0.019762845849802372
4,L47183,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,1,0,0,10.400000000000034,5927.504658915661,0.02766798418972332
5,L47184,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,1,0,0,10.5,5897.816608339237,0.03557312252964427
6,M14865,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,0,1,0,10.5,6252.554778807084,0.043478260869565216
7,L47186,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,1,0,0,10.5,6917.703247400629,0.05533596837944664
8,L47187,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,1,0,0,10.5,6428.264055922363,0.06324110671936758
9,M14868,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,0,1,0,10.399999999999977,4992.639989035923,0.07114624505928854
10,M14869,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,0,1,0,10.5,5104.878622573175,0.08300395256916997
11,H29424,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,0,0,1,10.5,4459.993426595285,0.09486166007905138
12,H29425,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,0,0,1,10.5,6601.41817101272,0.11462450592885376
13,M14872,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,0,1,0,10.5,7165.22933257697,0.13438735177865613
14,M14873,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,0,1,0,10.599999999999966,5472.6544025534195,0.14624505928853754
15,L47194,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,1,0,0,10.599999999999966,4176.85215270275,0.15810276679841898
16,L47195,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,1,0,0,10.599999999999966,7815.528539894543,0.16600790513833993
17,M14876,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,0,1,0,10.599999999999966,6397.602111623327,0.17391304347826086
18,M14877,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,0,1,0,10.5,6733.0613751736455,0.1857707509881423
19,H29432,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,0,0,1,10.399999999999977,7453.6380101520235,0.1976284584980237
20,M14879,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,0,1,0,10.400000000000034,5554.3358115467545,0.21739130434782608
21,H29434,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,0,0,1,10.400000000000034,6148.3586224630235,0.22924901185770752
22,L47201,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,1,0,0,10.5,6802.595292573099,0.2490118577075099
23,M14882,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,0,1,0,10.400000000000034,5082.7513383163905,0.25691699604743085
24,L47203,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,1,0,0,10.399999999999977,4731.3013681593,0.26877470355731226
25,M14884,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,0,1,0,10.399999999999977,6097.339157768725,0.2766798418972332
26,L47205,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,1,0,0,10.5,4540.784717670103,0.2885375494071146
27,L47206,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,1,0,0,10.399999999999977,6175.114519896098,0.2964426877470356
28,H29441,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,0,0,1,10.299999999999955,4665.327922433915,0.30434782608695654
29,L47208,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,1,0,0,10.299999999999955,6660.574360679816,0.3241106719367589
30,L47209,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,1,0,0,10.399999999999977,5336.445417069278,0.33201581027667987
31,M14890,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,0,1,0,10.399999999999977,6758.592051471818,0.33992094861660077
32,L47211,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,1,0,0,10.399999999999977,4801.296052481282,0.35177865612648224
33,L47212,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,1,0,0,10.399999999999977,7177.251160464705,0.35968379446640314
34,L47213,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,1,0,0,10.400000000000034,5666.647748912589,0.3675889328063241
35,M14894,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,0,1,0,10.300000000000011,5665.056008634771,0.37549407114624506
